pair,mult,t,side,entry,target,d_pips,lag_bars,adverse_pips,result,gross_pips,net_pips,iso_week
EUR_USD,3.0,2021-06-09 08:00:00+00:00,BUY,1.21886,1.22019,13.300000000000534,25,25.399999999999867,win,13.300000000000534,11.300000000000534,2021-W23
EUR_USD,3.0,2021-06-09 14:00:00+00:00,SELL,1.21858,1.2163,22.800000000000598,1,32.2,win,22.800000000000598,20.800000000000598,2021-W23
EUR_USD,3.0,2021-06-10 14:00:00+00:00,BUY,1.21713,1.21856,14.300000000000423,1,28.69999999999928,win,14.300000000000423,12.300000000000423,2021-W23
EUR_USD,3.0,2021-06-11 09:00:00+00:00,SELL,1.2154,1.2143,11.000000000001009,3,39.89999999999938,win,11.000000000001009,9.000000000001009,2021-W23
EUR_USD,3.0,2021-06-13 22:00:00+00:00,BUY,1.21093,1.21856,76.30000000000025,3,38.7000000000004,loss,-76.30000000000025,-78.30000000000025,2021-W23
EUR_USD,3.0,2021-06-15 10:00:00+00:00,SELL,1.21183,1.2102,16.300000000000203,3,29.400000000001647,win,16.300000000000203,14.300000000000203,2021-W24
EUR_USD,3.0,2021-06-16 04:00:00+00:00,BUY,1.21283,1.21473,19.000000000000128,16,26.999999999999247,loss,-19.000000000000128,-21.000000000000128,2021-W24
EUR_USD,3.0,2021-06-21 09:00:00+00:00,BUY,1.1896,1.2135,239.0000000000003,22,50.69999999999908,timeout,-101.99999999999986,-103.99999999999986,2021-W25
EUR_USD,3.0,2021-06-22 09:00:00+00:00,SELL,1.18835,1.1847,36.49999999999931,17,40.10000000000069,loss,-36.49999999999931,-38.49999999999931,2021-W25
EUR_USD,3.0,2021-06-22 16:00:00+00:00,BUY,1.19346,1.2135,200.40000000000057,7,54.30000000000046,timeout,-167.80000000000015,-169.80000000000015,2021-W25
EUR_USD,3.0,2021-06-23 04:00:00+00:00,SELL,1.19196,1.188,39.59999999999963,9,33.60000000000029,loss,-39.59999999999963,-41.59999999999963,2021-W25
EUR_USD,3.0,2021-06-23 11:00:00+00:00,BUY,1.1941,1.19526,11.600000000000499,4,30.09999999999957,win,11.600000000000499,9.600000000000499,2021-W25
EUR_USD,3.0,2021-06-23 19:00:00+00:00,SELL,1.19238,1.1911,12.799999999999478,6,46.19999999999846,loss,-12.799999999999478,-14.799999999999478,2021-W25
EUR_USD,3.0,2021-06-25 07:00:00+00:00,BUY,1.19479,1.19526,4.699999999999704,25,30.399999999999316,loss,-4.699999999999704,-6.699999999999704,2021-W25
EUR_USD,3.0,2021-06-25 16:00:00+00:00,SELL,1.19375,1.19174,20.100000000000673,3,37.59999999999985,win,20.100000000000673,18.100000000000673,2021-W25
EUR_USD,3.0,2021-07-01 11:00:00+00:00,BUY,1.18764,1.19211,44.69999999999974,5,40.599999999999525,loss,-44.69999999999974,-46.69999999999974,2021-W26
EUR_USD,3.0,2021-07-01 18:00:00+00:00,SELL,1.18415,1.1836,5.5000000000005045,6,43.000000000001926,loss,-5.5000000000005045,-7.5000000000005045,2021-W26
EUR_USD,3.0,2021-07-02 13:00:00+00:00,BUY,1.18451,1.18843,39.20000000000145,1,37.30000000000011,win,39.20000000000145,37.20000000000145,2021-W26
EUR_USD,3.0,2021-07-06 08:00:00+00:00,SELL,1.1844,1.1836,7.999999999999119,2,49.900000000000496,win,7.999999999999119,5.999999999999119,2021-W27
EUR_USD,3.0,2021-07-08 07:00:00+00:00,BUY,1.18196,1.18843,64.70000000000198,17,39.00000000000014,loss,-64.70000000000198,-66.70000000000198,2021-W27
EUR_USD,3.0,2021-07-09 04:00:00+00:00,SELL,1.1832,1.18069,25.100000000000122,14,35.90000000000204,loss,-25.100000000000122,-27.100000000000122,2021-W27
EUR_USD,3.0,2021-07-09 10:00:00+00:00,BUY,1.18569,1.18677,10.80000000000192,4,33.8000000000016,win,10.80000000000192,8.80000000000192,2021-W27
EUR_USD,3.0,2021-07-12 09:00:00+00:00,SELL,1.18528,1.1836,16.799999999999038,17,28.799999999999937,win,16.799999999999038,14.799999999999038,2021-W28
EUR_USD,3.0,2021-07-12 14:00:00+00:00,BUY,1.18673,1.18677,0.40000000000040004,3,33.09999999999924,loss_tie,-0.40000000000040004,-2.4000000000004,2021-W28
EUR_USD,3.0,2021-07-13 08:00:00+00:00,SELL,1.18499,1.1836,13.900000000000023,5,26.199999999998447,win,13.900000000000023,11.900000000000023,2021-W28
EUR_USD,3.0,2021-07-14 12:00:00+00:00,BUY,1.18219,1.18677,45.80000000000028,12,51.900000000000276,loss,-45.80000000000028,-47.80000000000028,2021-W28
EUR_USD,3.0,2021-07-15 11:00:00+00:00,SELL,1.18093,1.18069,2.4000000000001798,3,41.09999999999836,loss_tie,-2.4000000000001798,-4.40000000000018,2021-W28
EUR_USD,3.0,2021-07-19 13:00:00+00:00,BUY,1.18211,1.18505,29.399999999999427,1,58.600000000001984,loss,-29.399999999999427,-31.399999999999427,2021-W29
