snapshot_ts_utc,symbol,long_pct,short_pct,total_positions,long_positions,short_positions,long_volume_lots,short_volume_lots
2011-07-21T03:28:20Z,GBPJPY,66.0,33.0,625,470,155,122.48,60.73
2011-07-21T03:28:20Z,GBPUSD,45.0,54.0,3006,1307,1699,616.48,749.09
2011-07-21T03:28:20Z,USDCAD,77.0,22.0,1172,916,256,277.92,81.36
2011-07-21T03:28:20Z,USDCHF,56.0,43.0,1227,611,616,232.52,180.28
2011-07-21T03:28:20Z,USDJPY,82.0,17.0,1447,1146,301,509.26,106.8
2011-08-08T02:08:18Z,AUDUSD,87.0,12.0,999,760,239,638.79,93.74
2011-08-08T02:08:18Z,EURCHF,63.0,36.0,604,478,126,269.11,151.9
2011-08-08T02:08:18Z,EURGBP,65.0,34.0,447,273,174,123.77,64.29
2011-08-08T02:08:18Z,EURJPY,64.0,35.0,571,387,184,103.68,57.72
2011-08-08T02:08:18Z,EURUSD,47.0,52.0,3993,2031,1962,1095.31,1187.99
2011-08-08T02:08:18Z,GBPJPY,61.0,38.0,388,213,175,78.2,48.63
2011-08-08T02:08:18Z,GBPUSD,16.0,83.0,3328,800,2528,264.04,1303.76
2011-08-08T02:08:18Z,USDCAD,16.0,83.0,858,171,687,159.54,793.74
2011-08-08T02:08:18Z,USDCHF,62.0,37.0,889,656,233,184.28,108.95
2011-08-08T02:08:18Z,USDJPY,70.0,29.0,980,660,320,206.94,86.04
2011-09-02T00:41:27Z,AUDUSD,41.0,58.0,775,394,381,81.11,114.97
2011-09-02T00:41:27Z,EURCHF,57.0,42.0,485,303,182,35.82,26.96
2011-09-02T00:41:27Z,EURGBP,35.0,64.0,919,420,499,120.66,216.52
2011-09-02T00:41:27Z,EURJPY,90.0,9.0,1017,806,211,588.49,64.19
2011-09-02T00:41:27Z,EURUSD,78.0,21.0,5516,3515,2001,3139.24,873.06
2011-09-02T00:41:27Z,GBPJPY,71.0,28.0,572,422,150,111.67,43.57
2011-09-02T00:41:27Z,GBPUSD,88.0,11.0,4922,3320,1602,5149.59,655.53
2011-09-02T00:41:27Z,USDCAD,58.0,41.0,797,451,346,151.57,108.98
2011-09-02T00:41:27Z,USDCHF,42.0,57.0,842,477,365,189.42,251.17
2011-09-02T00:41:27Z,USDJPY,65.0,34.0,1086,746,340,230.94,121.37
2011-09-17T22:23:42Z,AUDUSD,62.0,37.0,768,513,255,194.49,119.14
2011-09-17T22:23:42Z,EURCHF,41.0,58.0,556,292,264,49.46,69.28
2011-09-17T22:23:42Z,EURGBP,23.0,76.0,575,241,334,56.33,180.66
2011-09-17T22:23:42Z,EURJPY,60.0,39.0,882,609,273,166.35,106.94
2011-09-17T22:23:42Z,EURUSD,53.0,46.0,4371,2632,1739,624.03,538.9
2011-09-17T22:23:42Z,GBPJPY,92.0,7.0,607,428,179,362.79,29.9
2011-09-17T22:23:42Z,GBPUSD,76.0,23.0,4352,3432,920,3329.92,1016.9
2011-09-17T22:23:42Z,USDCAD,66.0,33.0,924,585,339,244.48,125.8
2011-09-17T22:23:42Z,USDCHF,47.0,52.0,843,402,441,162.81,179.58
2011-09-17T22:23:42Z,USDJPY,80.0,19.0,1037,771,266,299.19,70.89
2011-09-23T16:36:24Z,AUDUSD,70.0,29.0,1068,713,355,2689.56,1122.49
2011-09-23T16:36:24Z,EURCHF,82.0,17.0,477,240,237,1072.54,221.94
2011-09-23T16:36:24Z,EURGBP,34.0,65.0,537,244,293,1066.37,2035.99
2011-09-23T16:36:24Z,EURJPY,75.0,24.0,896,599,297,3160.15,1041.9
2011-09-23T16:36:24Z,EURUSD,63.0,36.0,4327,2868,1459,4908.36,2764.95
2011-09-23T16:36:24Z,GBPJPY,83.0,17.0,804,543,261,126.31,25.87
2011-09-23T16:36:24Z,GBPUSD,68.0,31.0,5016,3739,1277,4930.44,2315.91
2011-09-23T16:36:24Z,USDCAD,38.0,61.0,1213,282,931,1084.39,1750.8
2011-09-23T16:36:24Z,USDCHF,34.0,65.0,870,408,462,1158.78,2157.17
2011-09-23T16:36:24Z,USDJPY,55.0,44.0,1141,838,303,1391.86,1104.39
2011-10-07T21:49:00Z,AUDUSD,87.0,12.0,948,558,390,8535.46,1273.06
2011-10-07T21:49:00Z,EURCHF,49.0,50.0,476,240,236,1030.93,1050.93
