cell_id,pair,tf,intrabar_tf,hypothesis,vol_mult,body_pct,horizon_bars,cohort,n_trades,win_rate,ev_pip,ev_pct,profit_factor,wilson_lower_95,sharpe_annual,kelly_fraction,max_dd_pct,mae_mean_pct,mae_p5_pct,mfe_mean_pct,year_flip_count,p_value,bonferroni_pass,bh_fdr_pass,g7_delta_incremental,verdict,period_start,period_end,bt_data_source,generated_at
GBP_JPY_H-D_2.5_0.40_1,GBP_JPY,H1,M5,H-D,2.5,0.4,1,primary_12y,34,0.5588235294117647,47.18517087962478,0.3301026431662037,4.751606672857163,0.3945389925620306,13.05709400567458,0.45239381735136314,-1.74593910339299,-0.1705836311547392,-0.5503279116767379,0.5045989893697429,3,0.6075913612730801,0,0,1,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-D_2.5_0.40_3,GBP_JPY,H1,M5,H-D,2.5,0.4,3,primary_12y,34,0.5,50.997847350213185,0.35113651131598755,4.1671573652435665,0.340693256456825,13.941232570182864,0.3817605232888889,-1.8058760108967231,-0.21803864773017126,-0.6917891817434457,0.5646250833099252,4,1.0,0,0,1,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-D_2.5_0.40_6,GBP_JPY,H1,M5,H-D,2.5,0.4,6,primary_12y,34,0.6470588235294118,53.19784735021291,0.3649207751681354,3.9715756985772908,0.47913963119781744,14.551875247138742,0.4962774528887598,-2.0800144171926753,-0.24351735242030567,-0.6917891817434457,0.6061305956267423,2,0.12144948495551944,0,0,1,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-D_2.5_0.40_12,GBP_JPY,H1,M5,H-D,2.5,0.4,12,primary_12y,34,0.4117647058823529,34.9978473502132,0.2412923812066331,1.9840447750181784,0.26365968363871156,9.511365068320746,0.2132494423581242,-3.577290919062083,-0.41181242768807413,-1.196594798654942,0.6931911762090228,3,0.39152830513194203,0,0,1,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-A_2.5_0.50_1,GBP_JPY,H1,M5,H-A,2.5,0.5,1,primary_12y,1610,0.48819875776397514,0.823462127030083,0.00634257836835504,1.0667171143387548,0.4638393672778912,1.3348491596440273,0.03590503356453667,-5.7321256891617045,-0.16240594517143864,-0.4537851452661307,0.1738706810623092,6,0.3564682443334047,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-A_2.5_0.50_3,GBP_JPY,H1,M5,H-A,2.5,0.5,3,primary_12y,1610,0.5062111801242236,-0.20817164061008614,-0.0005847178219758523,0.9880124557978602,0.48180401259217864,-0.09361852710024432,-0.003984246277414005,-17.923523114370706,-0.22117838443377408,-0.6155541961013578,0.22495585719431144,7,0.6358539967596739,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-A_2.5_0.50_6,GBP_JPY,H1,M5,H-A,2.5,0.5,6,primary_12y,1610,0.5018633540372671,0.1467622804225652,0.002098429266572583,1.0068851718278868,0.4774648269246518,0.31242695800899917,0.007699317784747917,-12.49525954106485,-0.27439641267440734,-0.765058022481972,0.2856150540427994,6,0.9008363955909676,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-A_2.5_0.50_12,GBP_JPY,H1,M5,H-A,2.5,0.5,12,primary_12y,1610,0.4788819875776398,-2.2718927586224686,-0.012027612712667791,0.9213199742027054,0.45455971058505573,-1.509321962909077,-0.03581430284816556,-24.07615814307468,-0.3561838780802634,-0.9737428291617356,0.36654997692465535,4,0.09493032056825362,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-B_2.5_0.50_1,GBP_JPY,H1,M5,H-B,2.5,0.5,1,primary_12y,1610,0.5111801242236025,-0.823462127030083,-0.005065404294243133,0.9374556633225933,0.48676533579553843,-1.1376981286481445,-0.03353402246972892,-14.90624615568392,-0.1724437328883307,-0.4935719972009567,0.16293487763231593,6,0.38306244122139294,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
GBP_JPY_H-B_2.5_0.50_3,GBP_JPY,H1,M5,H-B,2.5,0.5,3,primary_12y,1610,0.4925465838509317,0.20817164061008614,0.0029380227567858534,1.0121329889434028,0.46817276870286373,0.46956665019900573,0.011815435244047656,-10.541945634571082,-0.22318450679924695,-0.6281235809996766,0.22288434194023063,6,0.5665150007763428,0,0,,REJECT,2014-01-02T04:00:00+00:00,2026-04-30T23:00:00+00:00,MASSIVE_parquet,2026-05-20T04:17:34.819065+00:00
