date,currency_pair,direction,amount_yen_billions,source_url
1994-04-01,USD/JPY,sell_JPY_buy_USD,26.8,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-04-04,USD/JPY,sell_JPY_buy_USD,8.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-04-05,USD/JPY,sell_JPY_buy_USD,30.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-04-11,USD/JPY,sell_JPY_buy_USD,20.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-04-12,USD/JPY,sell_JPY_buy_USD,34.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-04-14,USD/JPY,sell_JPY_buy_USD,10.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-04-19,USD/JPY,sell_JPY_buy_USD,20.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-04-21,USD/JPY,sell_JPY_buy_USD,30.9,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-04-28,USD/JPY,sell_JPY_buy_USD,30.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-04-29,USD/JPY,sell_JPY_buy_USD,50.6,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-05-02,USD/JPY,sell_JPY_buy_USD,21.4,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-05-03,USD/JPY,sell_JPY_buy_USD,25.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-05-04,USD/JPY,sell_JPY_buy_USD,35.7,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-06-20,USD/JPY,sell_JPY_buy_USD,10.2,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-06-21,USD/JPY,sell_JPY_buy_USD,53.5,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-06-22,USD/JPY,sell_JPY_buy_USD,109.0,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-06-23,USD/JPY,sell_JPY_buy_USD,23.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
1994-06-24,USD/JPY,sell_JPY_buy_USD,136.3,https://www.mof.go.jp/policy/international_policy/reference/feio/foreign_exchange_intervention_operations.csv
