date,minister,source,max_level,n_fx_blocks,no_comment,matched_phrases,url
2023-12-07,神田(財務官),online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231207.html
2023-12-08,鈴木,online,1,1,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20231208.html
2023-12-12,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231212.html
2023-12-15,鈴木,online,1,1,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20231215.html
2023-12-22,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231222.html
2023-12-26,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20231226.html
2024-01-09,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240109.html
2024-01-16,鈴木,online,3,1,0,L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20240116.html
2024-01-19,鈴木,online,1,2,0,L1:注視,https://www.mof.go.jp/public_relations/conference/my20240119.html
2024-01-23,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240123.html
2024-01-26,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240126.html
2024-01-30,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240130.html
2024-02-02,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240202.html
2024-02-06,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240206.html
2024-02-09,鈴木,online,1,1,1,L1:注視,https://www.mof.go.jp/public_relations/conference/my20240209.html
2024-02-13,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240213.html
2024-02-16,鈴木,online,2,1,1,L1:注視;L2:緊張感,https://www.mof.go.jp/public_relations/conference/my20240216.html
2024-02-19,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240219.html
2024-02-20,鈴木,online,2,3,1,L1:注視;L2:緊張感,https://www.mof.go.jp/public_relations/conference/my20240220.html
2024-02-22,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240222.html
2024-02-27,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240227.html
2024-02-29,神田(財務官),online,0,1,0,,https://www.mof.go.jp/public_relations/conference/my20240229.html
2024-03-01,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240301.html
2024-03-05,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240305.html
2024-03-08,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240308.html
2024-03-12,鈴木,online,0,1,1,,https://www.mof.go.jp/public_relations/conference/my20240312.html
2024-03-15,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240315.html
2024-03-19,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240319.html
2024-03-22,鈴木,online,2,3,1,L1:注視;L2:緊張感,https://www.mof.go.jp/public_relations/conference/my20240322.html
2024-03-26,鈴木,online,3,3,1,L1:注視;L2:望ましくない/緊張感/行き過ぎた動き/過度な変動;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20240326.html
2024-03-28,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240328.html
2024-03-29,鈴木,online,3,2,0,L1:注視;L2:望ましくない/緊張感/行き過ぎた動き/過度な変動;L3:投機的な動き/適切な対応,https://www.mof.go.jp/public_relations/conference/my20240329.html
2024-03-31,鈴木,online,0,0,0,,https://www.mof.go.jp/public_relations/conference/my20240331.html
2024-04-02,鈴木,online,5,4,0,L1:注視;L2:望ましくない/緊張感/行き過ぎた動き/過度な変動;L3:投機的な動き/適切な対応/適切に対応;L5:介入を行う,https://www.mof.go.jp/public_relations/conference/my20240402.html
2024-04-05,鈴木,online,3,1,0,L2:望ましくない/緊張感/行き過ぎた動き;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20240405.html
2024-04-09,鈴木,online,3,1,0,L1:注視;L2:望ましくない/緊張感/行き過ぎた動き/過度な変動;L3:投機的な動き/適切な対応,https://www.mof.go.jp/public_relations/conference/my20240409.html
2024-04-12,鈴木,online,3,5,0,L2:望ましくない/緊張感/行き過ぎた動き/過度な変動;L3:適切に対応,https://www.mof.go.jp/public_relations/conference/my20240412.html
2024-04-16,鈴木,online,3,6,1,L1:注視;L2:行き過ぎた動き;L3:万全の対応,https://www.mof.go.jp/public_relations/conference/my20240416.html
