baseline_N,baseline_PF,baseline_PnL,entry_type,gate,gate_N,gate_PF,gate_PnL,reason,verdict
84,0.808535,-13.158796,orb_trap,TRENDING,24,0.438585,-12.91273,baseline_negative_no_edge,CATASTROPHIC
84,0.808535,-13.158796,orb_trap,RANGING,13,1.890141,6.139711,baseline_negative_no_edge,CATASTROPHIC
84,0.808535,-13.158796,orb_trap,CHOP,47,0.835541,-6.385777,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,pd_eurjpy_h20_bbpb3_sell,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,pd_eurjpy_h20_bbpb3_sell,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,pd_eurjpy_h20_bbpb3_sell,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
80,1.677247,57.066925,post_news_vol,TRENDING,26,2.507741,28.620937,gate_N_lt_30,CATASTROPHIC
80,1.677247,57.066925,post_news_vol,RANGING,15,0.489885,-16.231735,pnl_sign_flip,CATASTROPHIC
80,1.677247,57.066925,post_news_vol,CHOP,39,2.335231,44.677723,not_catastrophic,NOT_CATASTROPHIC
0,0.0,0,pullback_to_liquidity_v1,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,pullback_to_liquidity_v1,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,pullback_to_liquidity_v1,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,rsk_gbpjpy_reversion,TRENDING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,rsk_gbpjpy_reversion,RANGING,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
0,0.0,0,rsk_gbpjpy_reversion,CHOP,0,0.0,0,baseline_negative_no_edge,CATASTROPHIC
1229,1.10124,91.285588,session_time_bias,TRENDING,209,1.409391,53.612863,not_catastrophic,NOT_CATASTROPHIC
1229,1.10124,91.285588,session_time_bias,RANGING,263,1.054921,10.972329,not_catastrophic,NOT_CATASTROPHIC
1229,1.10124,91.285588,session_time_bias,CHOP,757,1.046767,26.700396,not_catastrophic,NOT_CATASTROPHIC
19,0.774119,-3.535331,squeeze_release_momentum,TRENDING,3,inf,3.6282,baseline_negative_no_edge,CATASTROPHIC
19,0.774119,-3.535331,squeeze_release_momentum,RANGING,4,0.247926,-3.895276,baseline_negative_no_edge,CATASTROPHIC
19,0.774119,-3.535331,squeeze_release_momentum,CHOP,12,0.687904,-3.268255,baseline_negative_no_edge,CATASTROPHIC
77,4.762305,310.015488,sr_anti_hunt_bounce,TRENDING,12,2.815928,38.051242,gate_N_lt_30,CATASTROPHIC
77,4.762305,310.015488,sr_anti_hunt_bounce,RANGING,16,22.848927,80.1222,gate_N_lt_30,CATASTROPHIC
77,4.762305,310.015488,sr_anti_hunt_bounce,CHOP,49,4.320264,191.842046,not_catastrophic,NOT_CATASTROPHIC
110,0.793638,-16.352251,sr_break_retest,TRENDING,30,0.984252,-0.291295,baseline_negative_no_edge,CATASTROPHIC
110,0.793638,-16.352251,sr_break_retest,RANGING,15,0.761791,-2.633657,baseline_negative_no_edge,CATASTROPHIC
110,0.793638,-16.352251,sr_break_retest,CHOP,65,0.729765,-13.427299,baseline_negative_no_edge,CATASTROPHIC
675,0.910343,-41.711209,sr_fib_confluence,TRENDING,29,0.973231,-0.515398,baseline_negative_no_edge,CATASTROPHIC
