EV_pip,Kelly,N,PF,PnL,WR,Wilson_lo,condition,entry_type,wins
0.0,0.0,0,0.0,0,0.0,0.0,baseline,stoch_trend_pullback,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,stoch_trend_pullback,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,stoch_trend_pullback,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,stoch_trend_pullback,0
0.933079,0.394481,472,2.259734,440.413454,0.707627,0.665047,baseline,streak_reversal,334
1.227411,0.514279,105,3.159914,128.878142,0.752381,0.661895,gated_TRENDING,streak_reversal,79
1.003243,0.423178,94,2.316252,94.304838,0.744681,0.64814,gated_RANGING,streak_reversal,70
0.795716,0.338001,273,1.99513,217.230474,0.677656,0.620079,gated_CHOP,streak_reversal,185
0.0,0.0,0,0.0,0,0.0,0.0,baseline,three_bar_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,three_bar_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,three_bar_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,three_bar_reversal,0
0.0,0.0,0,0.0,0,0.0,0.0,baseline,tokyo_nakane_momentum,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,tokyo_nakane_momentum,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,tokyo_nakane_momentum,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,tokyo_nakane_momentum,0
0.114904,0.093094,21,1.177,2.412975,0.619048,0.408783,baseline,tokyo_range_breakout_up,13
0.421895,0.363523,7,2.036379,2.953266,0.714286,0.358929,gated_TRENDING,tokyo_range_breakout_up,5
-2.256483,0.0,2,0.0,-4.512967,0.0,0.0,gated_RANGING,tokyo_range_breakout_up,0
0.331056,0.258569,12,1.633596,3.972676,0.666667,0.390618,gated_CHOP,tokyo_range_breakout_up,8
0.0,0.0,0,0.0,0,0.0,0.0,baseline,trend_rebound,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,trend_rebound,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,trend_rebound,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,trend_rebound,0
0.63394,0.343127,167,1.846443,105.868026,0.748503,0.677614,baseline,trendline_sweep,125
1.412357,0.739442,22,6.953889,31.071851,0.863636,0.666646,gated_TRENDING,trendline_sweep,19
0.088294,0.05532,53,1.086062,4.679565,0.698113,0.564629,gated_RANGING,trendline_sweep,37
0.762137,0.38782,92,2.070795,70.11661,0.75,0.65271,gated_CHOP,trendline_sweep,69
0.183787,0.109295,61,1.219794,11.211018,0.606557,0.48117,baseline,turtle_soup,37
-1.008967,-0.561567,3,0.372481,-3.0269,0.333333,0.06149,gated_TRENDING,turtle_soup,1
0.148924,0.084323,27,1.17894,4.020945,0.555556,0.373127,gated_RANGING,turtle_soup,15
0.32958,0.203987,31,1.430869,10.216973,0.677419,0.501407,gated_CHOP,turtle_soup,21
0.0,0.0,0,0.0,0,0.0,0.0,baseline,vdr_jpy,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,vdr_jpy,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,vdr_jpy,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,vdr_jpy,0
0.742588,0.325822,107,1.80819,79.456933,0.728972,0.637907,baseline,vix_carry_unwind,78
0.561288,0.239472,51,1.535967,28.625665,0.686275,0.549727,gated_TRENDING,vix_carry_unwind,35
0.780502,0.354301,15,1.93475,11.707529,0.733333,0.480491,gated_RANGING,vix_carry_unwind,11
0.954238,0.427046,41,2.208247,39.123739,0.780488,0.632947,gated_CHOP,vix_carry_unwind,32
0.0,0.0,0,0.0,0,0.0,0.0,baseline,vol_momentum_scalp,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_TRENDING,vol_momentum_scalp,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_RANGING,vol_momentum_scalp,0
0.0,0.0,0,0.0,0,0.0,0.0,gated_CHOP,vol_momentum_scalp,0
-0.189944,-0.165105,80,0.747006,-15.195535,0.4875,0.381077,baseline,vol_spike_mr,39
-0.500477,-0.519546,16,0.419207,-8.007625,0.375,0.18481,gated_TRENDING,vol_spike_mr,6
0.094321,0.069331,12,1.134885,1.131857,0.583333,0.319507,gated_RANGING,vol_spike_mr,7
-0.159996,-0.140706,52,0.780389,-8.319767,0.5,0.368856,gated_CHOP,vol_spike_mr,26
0.0,0.0,0,0.0,0,0.0,0.0,baseline,vsg_jpy_reversal,0
