_is_range_tp_override,actual_sl_m,bar_idx,bars_held,entry_time,entry_type,ep,exec_lag_jitter,exit_friction_m,exit_reason,outcome,pair,pnl_m,sig,sl,sl_m,source_symbol,tp,tp_m,trade_id,dow_regime,v2_regime,confluence_score,confluence_confirmations,confluence_required,confluence_details
False,1.696,7194,8,2025-08-13 15:30:00+00:00,xs_momentum,147.2,0.0,0.0565,tp_sl,LOSS,USDJPY,-1.7525,SELL,147.385,1.6666666666666872,USDJPY=X,147.011,1.7000000000001028,USDJPY-661,CHOP,moderate_trend,MIXED,0,3,"{""components"": [{""component"": ""DXY"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""flat"", ""relation"": ""same"", ""source"": ""DXY_proxy:USD_JPY,EUR_USD,GBP_USD""}, {""component"": ""EUR_USD"", ""confirms"": false, ""expected"": ""up"", ""observed"": ""flat"", ""relation"": ""inverse"", ""source"": ""EUR_USD""}, {""component"": ""USD_CHF"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""flat"", ""relation"": ""same"", ""source"": ""USD_CHF""}], ""expected_primary_direction"": ""down"", ""lookback_h1_bars"": 5, ""primary_dir"": ""SELL"", ""primary_pair"": ""USD_JPY""}"
True,,7208,4,2025-08-13 19:00:00+00:00,dt_sr_channel_reversal,147.456,0.0,0.0871,tp_sl,WIN,USDJPY,1.1129,SELL,147.541,1.0000000000000937,USDJPY=X,147.354,1.2000000000000457,USDJPY-662,CHOP,no_go,MIXED,0,3,"{""components"": [{""component"": ""DXY"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""up"", ""relation"": ""same"", ""source"": ""DXY_proxy:USD_JPY,EUR_USD,GBP_USD""}, {""component"": ""EUR_USD"", ""confirms"": false, ""expected"": ""up"", ""observed"": ""down"", ""relation"": ""inverse"", ""source"": ""EUR_USD""}, {""component"": ""USD_CHF"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""flat"", ""relation"": ""same"", ""source"": ""USD_CHF""}], ""expected_primary_direction"": ""down"", ""lookback_h1_bars"": 5, ""primary_dir"": ""SELL"", ""primary_pair"": ""USD_JPY""}"
False,,7228,1,2025-08-14 00:00:00+00:00,vix_carry_unwind,146.871,0.0,0.1466,tp_sl,WIN,USDJPY,2.2534,SELL,147.179,3.533333333333348,USDJPY=X,146.523,2.4,USDJPY-663,TRENDING,no_go,WEAK,2,3,"{""components"": [{""component"": ""DXY"", ""confirms"": true, ""expected"": ""down"", ""observed"": ""down"", ""relation"": ""same"", ""source"": ""DXY_proxy:USD_JPY,EUR_USD,GBP_USD""}, {""component"": ""EUR_USD"", ""confirms"": true, ""expected"": ""up"", ""observed"": ""up"", ""relation"": ""inverse"", ""source"": ""EUR_USD""}, {""component"": ""USD_CHF"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""flat"", ""relation"": ""same"", ""source"": ""USD_CHF""}], ""expected_primary_direction"": ""down"", ""lookback_h1_bars"": 5, ""primary_dir"": ""SELL"", ""primary_pair"": ""USD_JPY""}"
False,,7231,1,2025-08-14 00:45:00+00:00,vix_carry_unwind,146.675,0.0,0.1342,tp_sl,WIN,USDJPY,2.2658,SELL,147.011,3.533333333333351,USDJPY=X,146.295,2.4,USDJPY-664,TRENDING,no_go,WEAK,2,3,"{""components"": [{""component"": ""DXY"", ""confirms"": true, ""expected"": ""down"", ""observed"": ""down"", ""relation"": ""same"", ""source"": ""DXY_proxy:USD_JPY,EUR_USD,GBP_USD""}, {""component"": ""EUR_USD"", ""confirms"": true, ""expected"": ""up"", ""observed"": ""up"", ""relation"": ""inverse"", ""source"": ""EUR_USD""}, {""component"": ""USD_CHF"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""flat"", ""relation"": ""same"", ""source"": ""USD_CHF""}], ""expected_primary_direction"": ""down"", ""lookback_h1_bars"": 5, ""primary_dir"": ""SELL"", ""primary_pair"": ""USD_JPY""}"
False,,7235,13,2025-08-14 01:45:00+00:00,vix_carry_unwind,146.483,0.0,0.109,tp_sl,WIN,USDJPY,2.286,SELL,146.896,3.5262108262107965,USDJPY=X,146.016,2.395,USDJPY-665,TRENDING,no_go,WEAK,2,3,"{""components"": [{""component"": ""DXY"", ""confirms"": true, ""expected"": ""down"", ""observed"": ""down"", ""relation"": ""same"", ""source"": ""DXY_proxy:USD_JPY,EUR_USD,GBP_USD""}, {""component"": ""EUR_USD"", ""confirms"": true, ""expected"": ""up"", ""observed"": ""up"", ""relation"": ""inverse"", ""source"": ""EUR_USD""}, {""component"": ""USD_CHF"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""flat"", ""relation"": ""same"", ""source"": ""USD_CHF""}], ""expected_primary_direction"": ""down"", ""lookback_h1_bars"": 5, ""primary_dir"": ""SELL"", ""primary_pair"": ""USD_JPY""}"
False,,7259,3,2025-08-14 07:45:00+00:00,streak_reversal,146.543,0.0,0.0464,tp_sl,WIN,USDJPY,2.8676,SELL,147.209,4.761904761904897,USDJPY=X,145.863,2.914,USDJPY-666,TRENDING,no_go,MIXED,0,3,"{""components"": [{""component"": ""DXY"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""up"", ""relation"": ""same"", ""source"": ""DXY_proxy:USD_JPY,EUR_USD,GBP_USD""}, {""component"": ""EUR_USD"", ""confirms"": false, ""expected"": ""up"", ""observed"": ""down"", ""relation"": ""inverse"", ""source"": ""EUR_USD""}, {""component"": ""USD_CHF"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""flat"", ""relation"": ""same"", ""source"": ""USD_CHF""}], ""expected_primary_direction"": ""down"", ""lookback_h1_bars"": 5, ""primary_dir"": ""SELL"", ""primary_pair"": ""USD_JPY""}"
False,1.839,7264,13,2025-08-14 09:00:00+00:00,dual_sr_bounce,146.488,0.0,0.0474,tp_sl,LOSS,USDJPY,-1.8864,SELL,146.698,1.532846715328525,USDJPY=X,146.273,1.563503649635075,USDJPY-667,CHOP,no_go,MIXED,0,3,"{""components"": [{""component"": ""DXY"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""up"", ""relation"": ""same"", ""source"": ""DXY_proxy:USD_JPY,EUR_USD,GBP_USD""}, {""component"": ""EUR_USD"", ""confirms"": false, ""expected"": ""up"", ""observed"": ""down"", ""relation"": ""inverse"", ""source"": ""EUR_USD""}, {""component"": ""USD_CHF"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""flat"", ""relation"": ""same"", ""source"": ""USD_CHF""}], ""expected_primary_direction"": ""down"", ""lookback_h1_bars"": 5, ""primary_dir"": ""SELL"", ""primary_pair"": ""USD_JPY""}"
False,1.991,7279,1,2025-08-14 12:45:00+00:00,vol_spike_mr,146.94,0.0,0.0387,tp_sl,LOSS,USDJPY,-2.0297,SELL,147.236,1.7658730158731015,USDJPY=X,146.637,1.80119047619055,USDJPY-668,CHOP,moderate_trend,MIXED,0,3,"{""components"": [{""component"": ""DXY"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""up"", ""relation"": ""same"", ""source"": ""DXY_proxy:USD_JPY,EUR_USD,GBP_USD""}, {""component"": ""EUR_USD"", ""confirms"": false, ""expected"": ""up"", ""observed"": ""down"", ""relation"": ""inverse"", ""source"": ""EUR_USD""}, {""component"": ""USD_CHF"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""flat"", ""relation"": ""same"", ""source"": ""USD_CHF""}], ""expected_primary_direction"": ""down"", ""lookback_h1_bars"": 5, ""primary_dir"": ""SELL"", ""primary_pair"": ""USD_JPY""}"
False,,7282,10,2025-08-14 13:30:00+00:00,streak_reversal,147.362,0.0,0.0359,tp_sl,LOSS,USDJPY,-2.873995,SELL,147.858,2.8380952380952555,USDJPY=X,146.855,2.894857142857096,USDJPY-669,CHOP,no_go,MIXED,0,3,"{""components"": [{""component"": ""DXY"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""up"", ""relation"": ""same"", ""source"": ""DXY_proxy:USD_JPY,EUR_USD,GBP_USD""}, {""component"": ""EUR_USD"", ""confirms"": false, ""expected"": ""up"", ""observed"": ""down"", ""relation"": ""inverse"", ""source"": ""EUR_USD""}, {""component"": ""USD_CHF"", ""confirms"": false, ""expected"": ""down"", ""observed"": ""flat"", ""relation"": ""same"", ""source"": ""USD_CHF""}], ""expected_primary_direction"": ""down"", ""lookback_h1_bars"": 5, ""primary_dir"": ""SELL"", ""primary_pair"": ""USD_JPY""}"
False,,7295,12,2025-08-14 16:45:00+00:00,xs_momentum,147.855,0.0,0.0482,signal_reverse,LOSS,USDJPY,-0.8352,BUY,147.622,0.787,USDJPY=X,148.092,0.787,USDJPY-670,CHOP,no_go,WEAK,2,3,"{""components"": [{""component"": ""DXY"", ""confirms"": true, ""expected"": ""up"", ""observed"": ""up"", ""relation"": ""same"", ""source"": ""DXY_proxy:USD_JPY,EUR_USD,GBP_USD""}, {""component"": ""EUR_USD"", ""confirms"": true, ""expected"": ""down"", ""observed"": ""down"", ""relation"": ""inverse"", ""source"": ""EUR_USD""}, {""component"": ""USD_CHF"", ""confirms"": false, ""expected"": ""up"", ""observed"": ""flat"", ""relation"": ""same"", ""source"": ""USD_CHF""}], ""expected_primary_direction"": ""up"", ""lookback_h1_bars"": 5, ""primary_dir"": ""BUY"", ""primary_pair"": ""USD_JPY""}"
